Tanggal,Waktu,Lintang,Bujur,Magnitudo,Kedalaman,Wilayah,Raw_Data,Sumber,Magnitudo_num,Kedalaman_num,DateTime,Tanggal_Parsed,Hari,Lat,Lon,Kategori
14 Feb 2026 01:37:42 WIB,,"5,36 LS-104,59 BT",,"3,2",2 Km,Pusat gempa berada di darat 17 km barat laut Tanggamus  II Ulu Belu,"1 | 14 Feb 2026 01:37:42 WIB | 3,2 | 2 Km | 5,36 LS-104,59 BT | Pusat gempa berada di darat 17 km barat laut Tanggamus  II Ulu Belu | Lihat",Wayback Machine BMKG,3.2,2.0,,,,,,Ringan
13 Feb 2026 13:27:48 WIB,,"6,72 LS-106,64 BT",,"3,2",7 Km,Pusat gempa berada di darat 22 km barat daya Kota Bogor  II-III Kabandungan,"2 | 13 Feb 2026 13:27:48 WIB | 3,2 | 7 Km | 6,72 LS-106,64 BT | Pusat gempa berada di darat 22 km barat daya Kota Bogor  II-III Kabandungan | Lihat",Wayback Machine BMKG,3.2,7.0,,,,,,Ringan
13 Feb 2026 08:06:57 WIB,,"0,05 LS-119,62 BT",,"4,3",10 Km,Pusat gempa berada di laut 48 km barat laut Donggala  II-III Donggala,"3 | 13 Feb 2026 08:06:57 WIB | 4,3 | 10 Km | 0,05 LS-119,62 BT | Pusat gempa berada di laut 48 km barat laut Donggala  II-III Donggala | Lihat",Wayback Machine BMKG,4.3,10.0,,,,,,Sedang
12 Feb 2026 20:14:15 WIB,,"4,29 LU-95,83 BT",,"4,7",19 Km,Pusat gempa berada di laut 37km Barat Laut Meulaboh-Aceh Barat  III Meulaboh III Nagan Raya II-III Aceh Jaya II Aceh Barat Daya II Bener Meriah,"4 | 12 Feb 2026 20:14:15 WIB | 4,7 | 19 Km | 4,29 LU-95,83 BT | Pusat gempa berada di laut 37km Barat Laut Meulaboh-Aceh Barat  III Meulaboh III Nagan Raya II-III Aceh Jaya II Aceh Barat Daya II Bener Meriah | Lihat",Wayback Machine BMKG,4.7,19.0,,,,,,Sedang
12 Feb 2026 19:47:08 WIB,,"4,71 LU-96,91 BT",,"2,7",15 Km,Pusat gempa berada di darat 5 km Tenggara Bener Meriah  II-III Bener Meriah,"5 | 12 Feb 2026 19:47:08 WIB | 2,7 | 15 Km | 4,71 LU-96,91 BT | Pusat gempa berada di darat 5 km Tenggara Bener Meriah  II-III Bener Meriah | Lihat",Wayback Machine BMKG,2.7,15.0,,,,,,Minor
12 Feb 2026 08:21:16 WIB,,"7,89 LS-110,51 BT",,"3,1",5 Km,Pusat gempa berada di darat 16 km Barat Laut Gunung Kidul  II Bantul,"6 | 12 Feb 2026 08:21:16 WIB | 3,1 | 5 Km | 7,89 LS-110,51 BT | Pusat gempa berada di darat 16 km Barat Laut Gunung Kidul  II Bantul | Lihat",Wayback Machine BMKG,3.1,5.0,,,,,,Ringan
12 Feb 2026 04:41:40 WIB,,"4,08 LS-121,87 BT",,"3,0",2 Km,Pusat gempa berada di darat 11 km BaratDaya Kolaka Timur  III Kolaka Timur,"7 | 12 Feb 2026 04:41:40 WIB | 3,0 | 2 Km | 4,08 LS-121,87 BT | Pusat gempa berada di darat 11 km BaratDaya Kolaka Timur  III Kolaka Timur | Lihat",Wayback Machine BMKG,3.0,2.0,,,,,,Minor
11 Feb 2026 18:42:16 WIB,,"4,60 LS-120,34 BT",,"2,6",5 Km,Pusat gempa berada di darat 34 km Timur Laut Bone  II Bone,"8 | 11 Feb 2026 18:42:16 WIB | 2,6 | 5 Km | 4,60 LS-120,34 BT | Pusat gempa berada di darat 34 km Timur Laut Bone  II Bone | Lihat",Wayback Machine BMKG,2.6,5.0,,,,,,Minor
11 Feb 2026 10:07:13 WIB,,"2,30 LS-140,05 BT",,"4,1",14 Km,Pusat gempa berada di laut 35 km Barat Laut Genyem Jayapura  III Kabupaten Jayapura,"9 | 11 Feb 2026 10:07:13 WIB | 4,1 | 14 Km | 2,30 LS-140,05 BT | Pusat gempa berada di laut 35 km Barat Laut Genyem Jayapura  III Kabupaten Jayapura | Lihat",Wayback Machine BMKG,4.1,14.0,,,,,,Sedang
11 Feb 2026 09:05:53 WIB,,"1,45 LS-134,24 BT",,"3,8",10 Km,Pusat gempa berada di laut 10 km timur laut Ransiki  III Ransiki,"10 | 11 Feb 2026 09:05:53 WIB | 3,8 | 10 Km | 1,45 LS-134,24 BT | Pusat gempa berada di laut 10 km timur laut Ransiki  III Ransiki | Lihat",Wayback Machine BMKG,3.8,10.0,,,,,,Ringan
10 Feb 2026 05:37:10 WIB,,"4,95 LU-96,75 BT",,"3,5",4 Km,Pusat gempa berada di darat 28 km Barat Laut Kab. Bener Meriah  II-III Bener Meriah,"11 | 10 Feb 2026 05:37:10 WIB | 3,5 | 4 Km | 4,95 LU-96,75 BT | Pusat gempa berada di darat 28 km Barat Laut Kab. Bener Meriah  II-III Bener Meriah | Lihat",Wayback Machine BMKG,3.5,4.0,,,,,,Ringan
09 Feb 2026 21:48:35 WIB,,"1,75 LU-99,15 BT",,"3,5",3 Km,Pusat gempa berada di darat 23 km barat laut Tapanuli Selatan  III Sibolga,"12 | 09 Feb 2026 21:48:35 WIB | 3,5 | 3 Km | 1,75 LU-99,15 BT | Pusat gempa berada di darat 23 km barat laut Tapanuli Selatan  III Sibolga | Lihat",Wayback Machine BMKG,3.5,3.0,,,,,,Ringan
